source_file,nx,ny,nz,nRaySPECT,coneMethod,implementation,projector_type,OSEM,nIter,nSubsets,subset_type,nProjections, ntime
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.500074
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.596481
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.479088
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.507608
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.457719
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.392595
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.334900
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.278547
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.601984
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.652157
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.381004
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.677148
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.455464
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.407720
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.523216
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.426351
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.456971
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.470714
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.761470
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.171520
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.229794
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.123697
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.116932
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.042969
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.053468
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.123565
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.300950
nema1,128,128,128,9,3,4,1,1,2,8,3,64,21.915227
nema1,128,128,128,9,3,4,1,1,2,8,3,64,21.991164
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.134769
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.139619
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.225065
nema1,128,128,128,9,3,4,1,1,2,8,3,64,21.936246
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.157584
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.053387
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.017542
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.199138
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.153443
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.904566
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.599145
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.544958
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.518804
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.417335
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.580766
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.450341
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.684197
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.647130
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.389408
nema1,128,128,128,16,3,4,1,1,2,8,3,64,37.116967
nema1,128,128,128,16,3,4,1,1,2,8,3,64,37.298881
nema1,128,128,128,16,3,4,1,1,2,8,3,64,36.861182
nema1,128,128,128,16,3,4,1,1,2,8,3,64,36.376890
nema1,128,128,128,16,3,4,1,1,2,8,3,64,36.422482
nema1,128,128,128,16,3,4,1,1,2,8,3,64,36.655851
nema1,128,128,128,16,3,4,1,1,2,8,3,64,36.520339
nema1,128,128,128,16,3,4,1,1,2,8,3,64,36.535794
nema1,128,128,128,16,3,4,1,1,2,8,3,64,36.549186
nema1,128,128,128,16,3,4,1,1,2,8,3,64,37.301979
nema1,128,128,128,16,3,4,1,1,2,8,3,64,37.476572
nema1,128,128,128,16,3,4,1,1,2,8,3,64,37.292750
nema1,128,128,128,16,3,4,1,1,2,8,3,64,37.306068
nema1,128,128,128,16,3,4,1,1,2,8,3,64,37.137542
nema1,128,128,128,16,3,4,1,1,2,8,3,64,37.050878
nema1,128,128,128,16,3,4,1,1,2,8,3,64,37.154692
nema1,128,128,128,16,3,4,1,1,2,8,3,64,37.218798
nema1,128,128,128,16,3,4,1,1,2,8,3,64,37.278458
nema1,128,128,128,16,3,4,1,1,2,8,3,64,36.495926
nema1,128,128,128,16,3,4,1,1,2,8,3,64,36.432324
nema1,128,128,128,16,3,4,1,1,2,8,3,64,36.610931
nema1,128,128,128,16,3,4,1,1,2,8,3,64,36.484447
nema1,128,128,128,16,3,4,1,1,2,8,3,64,36.503578
nema1,128,128,128,16,3,4,1,1,2,8,3,64,36.334666
nema1,128,128,128,16,3,4,1,1,2,8,3,64,36.582701
nema1,128,128,128,16,3,4,1,1,2,8,3,64,36.528585
nema1,128,128,128,16,3,4,1,1,2,8,3,64,36.382141
nema1,128,128,128,16,3,4,1,1,2,8,3,64,36.577329
nema1,128,128,128,16,3,4,1,1,2,8,3,64,36.346936
nema1,128,128,128,16,3,4,1,1,2,8,3,64,36.461140
nema1,128,128,128,16,3,4,1,1,2,8,3,64,36.545396
nema1,128,128,128,16,3,4,1,1,2,8,3,64,36.591690
nema1,128,128,128,16,3,4,1,1,2,8,3,64,36.570088
nema1,128,128,128,16,3,4,1,1,2,8,3,64,36.533608
nema1,128,128,128,16,3,4,1,1,2,8,3,64,36.748989
nema1,128,128,128,16,3,4,1,1,2,8,3,64,36.480636
nema1,128,128,128,16,3,4,1,1,2,8,3,64,36.266107
nema1,128,128,128,16,3,4,1,1,2,8,3,64,36.391085
nema1,128,128,128,16,3,4,1,1,2,8,3,64,36.281154
nema1,128,128,128,16,3,4,1,1,2,8,3,64,36.462637
nema1,128,128,128,16,3,4,1,1,2,8,3,64,36.360781
nema1,128,128,128,16,3,4,1,1,2,8,3,64,36.377710
nema1,128,128,128,16,3,4,1,1,2,8,3,64,36.514981
nema1,128,128,128,16,3,4,1,1,2,8,3,64,36.423001
nema1,128,128,128,16,3,4,1,1,2,8,3,64,36.281820
nema1,128,128,128,16,3,4,1,1,2,8,3,64,36.593449
nema1,128,128,128,16,3,4,1,1,2,8,3,64,36.630951
nema1,128,128,128,16,3,4,1,1,2,8,3,64,36.442293
nema1,128,128,128,16,3,4,1,1,2,8,3,64,36.243339
nema1,128,128,128,16,3,4,1,1,2,8,3,64,37.211337
nema1,128,128,128,16,3,4,1,1,2,8,3,64,37.322004
nema1,128,128,128,16,3,4,1,1,2,8,3,64,37.040636
nema1,128,128,128,16,3,4,1,1,2,8,3,64,37.195574
nema1,128,128,128,16,3,4,1,1,2,8,3,64,37.254881
nema1,128,128,128,16,3,4,1,1,2,8,3,64,37.494565
nema1,128,128,128,16,3,4,1,1,2,8,3,64,37.110543
nema1,128,128,128,16,3,4,1,1,2,8,3,64,37.143182
nema1,128,128,128,16,3,4,1,1,2,8,3,64,37.203617
nema1,128,128,128,16,3,4,1,1,2,8,3,64,36.809473
nema1,128,128,128,16,3,4,1,1,2,8,3,64,36.405051
nema1,128,128,128,16,3,4,1,1,2,8,3,64,36.554508
nema1,128,128,128,16,3,4,1,1,2,8,3,64,36.468552
nema1,128,128,128,16,3,4,1,1,2,8,3,64,36.463405
nema1,128,128,128,16,3,4,1,1,2,8,3,64,36.360236
nema1,128,128,128,16,3,4,1,1,2,8,3,64,36.343730
nema1,128,128,128,16,3,4,1,1,2,8,3,64,36.524397
nema1,128,128,128,16,3,4,1,1,2,8,3,64,36.422030
nema1,128,128,128,16,3,4,1,1,2,8,3,64,36.560506
nema1,128,128,128,16,3,4,1,1,2,8,3,64,36.599328
nema1,128,128,128,16,3,4,1,1,2,8,3,64,36.496054
nema1,128,128,128,16,3,4,1,1,2,8,3,64,36.583063
nema1,128,128,128,16,3,4,1,1,2,8,3,64,36.320477
nema1,128,128,128,16,3,4,1,1,2,8,3,64,36.252861
nema1,128,128,128,16,3,4,1,1,2,8,3,64,36.426957
nema1,128,128,128,16,3,4,1,1,2,8,3,64,36.444072
nema1,128,128,128,16,3,4,1,1,2,8,3,64,36.524463
nema1,128,128,128,16,3,4,1,1,2,8,3,64,36.237170
nema1,128,128,128,16,3,4,1,1,2,8,3,64,36.303973
nema1,128,128,128,16,3,4,1,1,2,8,3,64,36.432056
nema1,128,128,128,16,3,4,1,1,2,8,3,64,36.180824
nema1,128,128,128,16,3,4,1,1,2,8,3,64,36.365715
nema1,128,128,128,16,3,4,1,1,2,8,3,64,36.410524
nema1,128,128,128,16,3,4,1,1,2,8,3,64,36.357006
nema1,128,128,128,16,3,4,1,1,2,8,3,64,36.487349
nema1,128,128,128,16,3,4,1,1,2,8,3,64,36.321979
nema1,128,128,128,16,3,4,1,1,2,8,3,64,36.046414
nema1,128,128,128,16,3,4,1,1,2,8,3,64,36.203245
nema1,128,128,128,16,3,4,1,1,2,8,3,64,36.523462
nema1,128,128,128,16,3,4,1,1,2,8,3,64,37.501973
nema1,128,128,128,16,3,4,1,1,2,8,3,64,37.098681
nema1,128,128,128,16,3,4,1,1,2,8,3,64,37.013061
nema1,128,128,128,16,3,4,1,1,2,8,3,64,36.870537
nema1,128,128,128,16,3,4,1,1,2,8,3,64,37.024242
nema1,128,128,128,16,3,4,1,1,2,8,3,64,36.993622
nema1,128,128,128,16,3,4,1,1,2,8,3,64,37.067376
nema1,128,128,128,16,3,4,1,1,2,8,3,64,36.839966
nema1,128,128,128,16,3,4,1,1,2,8,3,64,36.819572
nema1,128,128,128,16,3,4,1,1,2,8,3,64,36.273566
nema1,128,128,128,16,3,4,1,1,2,8,3,64,36.508041
nema1,128,128,128,16,3,4,1,1,2,8,3,64,36.550469
nema1,128,128,128,25,3,4,1,1,2,8,3,64,53.952259
nema1,128,128,128,25,3,4,1,1,2,8,3,64,54.107062
nema1,128,128,128,25,3,4,1,1,2,8,3,64,53.885274
nema1,128,128,128,25,3,4,1,1,2,8,3,64,54.451012
nema1,128,128,128,25,3,4,1,1,2,8,3,64,53.796766
nema1,128,128,128,25,3,4,1,1,2,8,3,64,53.900374
nema1,128,128,128,25,3,4,1,1,2,8,3,64,53.599726
nema1,128,128,128,25,3,4,1,1,2,8,3,64,53.966151
nema1,128,128,128,25,3,4,1,1,2,8,3,64,53.963562
nema1,128,128,128,25,3,4,1,1,2,8,3,64,54.103625
nema1,128,128,128,25,3,4,1,1,2,8,3,64,53.737320
nema1,128,128,128,25,3,4,1,1,2,8,3,64,54.028258
nema1,128,128,128,25,3,4,1,1,2,8,3,64,54.239156
nema1,128,128,128,25,3,4,1,1,2,8,3,64,53.892393
